iter	Passed	Remaining
401	15847	23574
402	15880	23524
403	15925	23493
404	15958	23444
405	16007	23419
406	16055	23393
407	16103	23366
408	16152	23339
409	16176	23279
410	16209	23229
411	16245	23185
412	16277	23134
413	16323	23105
414	16378	23088
415	16420	23052
416	16464	23019
417	16492	22963
418	16521	22909
419	16555	22861
420	16590	22817
421	16630	22778
422	16667	22735
423	16710	22701
424	16761	22677
425	16793	22628
426	16828	22582
427	16859	22532
428	16889	22480
429	16931	22443
430	16964	22395
431	16996	22347
432	17029	22299
433	17075	22268
434	17108	22221
435	17142	22174
436	17174	22126
437	17213	22087
438	17242	22034
439	17276	21988
440	17328	21964
441	17384	21947
442	17416	21898
443	17452	21854
444	17477	21797
445	17507	21746
446	17537	21696
447	17582	21664
448	17615	21617
449	17648	21570
450	17672	21513
451	17696	21454
452	17725	21403
453	17758	21356
454	17794	21314
455	17861	21308
456	17918	21289
457	17947	21239
458	17967	21177
459	18003	21134
460	18035	21087
461	18083	21058
462	18127	21024
463	18149	20965
464	18168	20903
465	18207	20864
466	18230	20806
467	18264	20761
468	18286	20703
469	18317	20655
470	18346	20605
471	18378	20559
472	18415	20518
473	18452	20476
474	18489	20435
475	18515	20382
476	18541	20329
477	18573	20283
478	18616	20248
479	18663	20219
480	18694	20171
481	18728	20127
482	18764	20085
483	18794	20037
484	18823	19988
485	18848	19934
486	18879	19887
487	18909	19839
488	18939	19791
489	18985	19759
490	19029	19727
491	19060	19680
492	19094	19636
493	19151	19616
494	19183	19571
495	19228	19538
496	19277	19509
497	19326	19482
498	19366	19443
499	19406	19406
500	19458	19380
501	19491	19336
502	19524	19291
503	19563	19252
504	19618	19229
505	19675	19208
506	19710	19166
507	19731	19110
508	19756	19058
509	19786	19010
510	19817	18964
511	19852	18922
512	19889	18881
513	19922	18837
514	19980	18816
515	20048	18804
516	20120	18797
517	20161	18760
518	20199	18720
519	20244	18687
520	20294	18658
521	20318	18605
522	20350	18560
523	20377	18511
524	20410	18466
525	20454	18432
526	20475	18377
527	20496	18322
528	20522	18272
529	20548	18222
530	20573	18171
531	20608	18129
532	20655	18097
533	20688	18053
534	20734	18021
535	20768	17979
536	20802	17935
537	20850	17905
538	20899	17874
539	20942	17839
540	20978	17798
541	21010	17754
542	21067	17731
543	21093	17681
544	21130	17640
545	21165	17599
546	21192	17550
547	21217	17500
548	21257	17462
549	21288	17418
550	21313	17368
551	21343	17322
552	21368	17272
553	21416	17241
554	21448	17197
555	21480	17153
556	21538	17129
557	21579	17093
558	21616	17053
559	21655	17014
560	21692	16975
561	21731	16936
562	21773	16900
563	21829	16875
564	21861	16831
565	21884	16780
566	21914	16735
567	21944	16690
568	21964	16637
569	21989	16588
570	22010	16537
571	22027	16482
572	22047	16429
573	22081	16387
574	22110	16342
575	22140	16297
576	22174	16256
577	22194	16204
578	22221	16157
579	22246	16109
580	22284	16070
581	22321	16031
582	22366	15997
583	22396	15953
584	22429	15911
585	22481	15883
586	22522	15846
587	22579	15821
588	22615	15781
589	22651	15740
590	22687	15701
591	22721	15659
592	22754	15617
593	22785	15573
594	22808	15524
595	22839	15481
596	22872	15439
597	22903	15396
598	22954	15366
599	22991	15327
600	23031	15290
601	23085	15262
602	23122	15223
603	23176	15195
604	23225	15163
605	23260	15122
606	23291	15080
607	23312	15030
608	23334	14981
609	23378	14947
610	23415	14907
611	23475	14883
612	23522	14850
613	23582	14825
614	23621	14787
615	23665	14752
616	23709	14717
617	23750	14680
618	23811	14655
619	23855	14621
620	23901	14587
621	23945	14551
622	23980	14511
623	24033	14481
624	24063	14438
625	24113	14406
626	24146	14364
627	24179	14322
628	24217	14283
629	24256	14245
630	24286	14202
631	24322	14162
632	24354	14119
633	24401	14086
634	24438	14047
635	24471	14005
636	24492	13957
637	24530	13918
638	24554	13871
639	24589	13831
640	24612	13784
641	24632	13735
642	24657	13689
643	24681	13643
644	24736	13614
645	24760	13568
646	24785	13523
647	24822	13483
648	24846	13438
649	24883	13398
650	24912	13355
651	24940	13311
652	24973	13270
653	25018	13236
654	25064	13201
655	25107	13165
656	25140	13125
657	25187	13091
658	25246	13064
659	25280	13023
660	25311	12981
661	25339	12937
662	25366	12893
663	25397	12851
664	25427	12809
665	25454	12765
666	25479	12720
667	25521	12684
668	25555	12644
669	25592	12605
670	25643	12573
671	25679	12534
672	25732	12503
673	25759	12459
674	25799	12422
675	25830	12380
676	25857	12336
677	25899	12300
678	25958	12272
679	26019	12244
680	26065	12209
681	26088	12164
682	26122	12124
683	26149	12080
684	26177	12037
685	26221	12002
686	26254	11961
687	26290	11922
688	26328	11883
689	26354	11840
690	26383	11798
691	26409	11754
692	26460	11722
693	26482	11676
694	26510	11634
695	26546	11595
696	26587	11558
697	26618	11516
698	26664	11481
699	26699	11442
700	26731	11401
701	26769	11363
702	26810	11326
703	26845	11287
704	26893	11253
705	26927	11213
706	26959	11172
707	27006	11138
708	27039	11098
709	27086	11063
710	27119	11023
711	27152	10982
712	27185	10943
713	27217	10902
714	27259	10865
