iter	Passed	Remaining
408	5285	1176
409	5302	1163
410	5318	1151
411	5337	1140
412	5352	1127
413	5372	1116
414	5391	1104
415	5409	1092
416	5429	1080
417	5448	1068
418	5465	1056
419	5482	1044
420	5499	1031
421	5513	1019
422	5532	1007
423	5551	995
424	5571	983
425	5588	970
426	5608	958
427	5627	946
428	5645	934
429	5664	922
430	5684	910
431	5704	897
432	5727	886
433	5752	874
434	5773	862
435	5792	850
436	5812	837
437	5832	825
438	5850	812
439	5872	800
440	5894	788
441	5914	776
442	5934	763
443	5954	751
444	5975	738
445	5996	726
446	6015	713
447	6033	700
448	6052	687
449	6070	674
450	6089	661
451	6111	649
452	6134	636
453	6156	623
454	6174	610
455	6191	597
456	6210	584
457	6228	571
458	6244	557
459	6263	544
460	6280	531
461	6299	518
462	6319	505
463	6340	491
464	6359	478
465	6380	465
466	6401	452
467	6424	439
468	6442	425
469	6465	412
470	6480	398
471	6499	385
472	6517	372
473	6537	358
474	6556	345
475	6575	331
476	6595	318
477	6616	304
478	6635	290
479	6655	277
480	6676	263
481	6695	250
482	6715	236
483	6735	222
484	6753	208
485	6770	195
486	6790	181
487	6808	167
488	6830	153
489	6849	139
490	6870	125
491	6891	112
492	6912	98
493	6931	84
494	6952	70
495	6974	56
496	6992	42
497	7012	28
498	7032	14
499	7052	0
